symbol,timestamp,score,reasons,entry_price,price_30m,price_1d,price_5d,ret_30m,ret_1d,ret_5d
TATAPOWER.NS,2026-01-28 10:55:00+05:30,63,"VR 5.5x, RSI 56, > VWAP",353.6000061035156,354.6499938964844,366.45001220703125,371.54998779296875,0.2969422440172041,3.634051437135387,5.07635220011798
JSWENERGY.NS,2026-01-28 10:55:00+05:30,70,"VR 5.8x, RSI 65, > VWAP",447.3999938964844,451.45001220703125,459.0,468.8500061035156,0.9052343240496187,2.59275955783753,4.794370250258468
SAIL.NS,2026-01-28 10:55:00+05:30,60,"VR 1.9x, > VWAP, pullback +0.0%",157.0,155.32000732421875,157.17999267578125,157.2899932861328,-1.0700590291600318,0.11464501642117836,0.18470909944765126
ASIANPAINT.NS,2026-01-28 10:55:00+05:30,63,"VR 3.5x, RSI 58, > VWAP",2483.0,2513.60009765625,2416.0,2452.699951171875,1.2323841182541282,-2.698348771647201,-1.22029999307793
MARUTI.NS,2026-01-28 11:05:00+05:30,63,"VR 3.5x, RSI 59, > VWAP",14935.0,14940.0,14502.0,15071.0,0.03347840642785404,-2.8992299966521595,0.9106126548376297
BPCL.NS,2026-01-28 11:05:00+05:30,60,"VR 3.0x, RSI 69, > VWAP",364.79998779296875,364.04998779296875,366.95001220703125,382.45001220703125,-0.20559211214273393,0.5893707472607378,4.838274398210572
COALINDIA.NS,2026-01-28 11:05:00+05:30,60,"VR 2.6x, RSI 63, > VWAP",437.54998779296875,440.04998779296875,455.75,434.8999938964844,0.5713632887090607,4.15952753166177,-0.6056436911017004
ULTRACEMCO.NS,2026-01-28 11:05:00+05:30,68,"VR 1.5x, RSI 58, > VWAP, pullback -0.7%",12735.0,12720.0,12717.0,12806.0,-0.11778563015312131,-0.1413427561837456,0.5575186493914409
MAXHEALTH.NS,2026-01-28 11:30:00+05:30,60,"VR 2.0x, RSI 62, > VWAP",962.5,964.4000244140625,952.5999755859375,1025.449951171875,0.19740513392857142,-1.0285739650974026,6.540254667207793
ABB.NS,2026-01-28 11:30:00+05:30,60,"VR 2.3x, RSI 68, > VWAP",4924.0,4954.5,5474.0,5755.0,0.6194151096669374,11.169780666125101,16.87652315190902
BEL.NS,2026-01-28 11:45:00+05:30,60,"VR 2.3x, RSI 69, > VWAP",432.04998779296875,431.1000061035156,444.5,439.20001220703125,-0.21987772625706925,2.881613831452552,1.6549067506255029
TATAPOWER.NS,2026-01-28 11:55:00+05:30,70,"VR 3.8x, RSI 66, > VWAP",354.6000061035156,352.79998779296875,366.45001220703125,371.54998779296875,-0.5076193681794269,3.341795233939264,4.780028594952999
JSWENERGY.NS,2026-01-28 11:55:00+05:30,70,"VR 4.0x, RSI 63, > VWAP",450.95001220703125,448.5,459.0,468.8500061035156,-0.5433001753432593,1.785117546304223,3.969396476757713
SAIL.NS,2026-01-28 11:55:00+05:30,60,"VR 1.7x, > VWAP, pullback -0.2%",156.64999389648438,155.52999877929688,157.17999267578125,157.2899932861328,-0.7149665884619198,0.33833309923210253,0.4085537277909851
MARUTI.NS,2026-01-28 12:05:00+05:30,60,"VR 2.8x, RSI 63, > VWAP",14951.0,14941.0,14502.0,15071.0,-0.0668851581833991,-3.0031436024346196,0.8026218982007893
EICHERMOT.NS,2026-01-28 12:05:00+05:30,60,"VR 2.8x, RSI 67, > VWAP",6927.0,6920.0,7056.5,7277.5,-0.10105384726432798,1.869496174390068,5.059910495163852
FINEORG.NS,2026-01-28 12:05:00+05:30,60,"VR 2.5x, RSI 61, > VWAP",4200.0,4213.60009765625,4067.39990234375,4516.7001953125,0.3238118489583333,-3.1571451822916665,7.540480840773809
MARICO.NS,2026-01-28 12:10:00+05:30,63,"VR 3.2x, RSI 71, > VWAP",736.4000244140625,736.6500244140625,729.9500122070312,733.4000244140625,0.03394893966752915,-0.8758843010853218,-0.40738727601034974
ASIANPAINT.NS,2026-01-28 12:20:00+05:30,60,"VR 2.7x, RSI 61, > VWAP",2503.199951171875,2507.60009765625,2416.0,2452.699951171875,0.1757808633031919,-3.4835391847563866,-2.017417744689488
COALINDIA.NS,2026-01-28 12:30:00+05:30,60,"VR 2.4x, RSI 62, > VWAP",439.6000061035156,438.8500061035156,455.75,434.8999938964844,-0.17060964276315144,3.673792919075034,-1.0691565381654036
PFC.NS,2026-01-28 12:40:00+05:30,60,"VR 2.3x, RSI 68, > VWAP",376.1000061035156,377.20001220703125,386.79998779296875,414.6000061035156,0.29247702357464617,2.8449831203959413,10.236639025579668
JSWENERGY.NS,2026-01-28 13:00:00+05:30,63,"VR 3.1x, RSI 58, > VWAP",449.29998779296875,449.04998779296875,459.0,468.8500061035156,-0.055642111460549724,2.158916641569303,4.35121719156495
MARUTI.NS,2026-01-28 13:05:00+05:30,60,"VR 2.4x, RSI 65, > VWAP",14983.0,15017.0,14502.0,15071.0,0.22692384702663018,-3.2103050123473267,0.5873323099512782
EICHERMOT.NS,2026-01-28 13:05:00+05:30,60,"VR 2.5x, RSI 60, > VWAP",6933.0,7009.0,7056.5,7277.5,1.0962065483917496,1.781335641136593,4.968988893696812
SAIL.NS,2026-01-28 13:10:00+05:30,60,"VR 1.5x, > VWAP, pullback -1.0%",155.49000549316406,155.7100067138672,157.17999267578125,157.2899932861328,0.14148897866801932,1.0868783348853157,1.1576228242193254
FINEORG.NS,2026-01-28 13:25:00+05:30,60,"VR 2.9x, RSI 69, > VWAP",4272.10009765625,4197.5,4067.39990234375,4516.7001953125,-1.746216051847122,-4.791558967094478,5.725523561361354
ASIANPAINT.NS,2026-01-28 13:30:00+05:30,60,"VR 2.3x, RSI 69, > VWAP",2514.699951171875,2501.89990234375,2416.0,2452.699951171875,-0.5090089902041812,-3.924919596307299,-2.4655028911543657
ABB.NS,2026-01-28 13:45:00+05:30,60,"VR 2.3x, RSI 67, > VWAP",5051.0,5043.0,5474.0,5755.0,-0.15838447832112454,8.37457929122946,13.937834092258958
PFC.NS,2026-01-28 13:50:00+05:30,60,"VR 2.4x, RSI 64, > VWAP",377.54998779296875,377.20001220703125,386.79998779296875,414.6000061035156,-0.09269648980346695,2.4500067008536837,9.813274932712597
EICHERMOT.NS,2026-01-28 14:05:00+05:30,60,"VR 2.6x, RSI 67, > VWAP",7008.0,7009.5,7056.5,7277.5,0.021404109589041095,0.692066210045662,3.84560502283105
COALINDIA.NS,2026-01-28 14:10:00+05:30,60,"VR 2.1x, RSI 63, > VWAP",439.95001220703125,439.6499938964844,455.75,434.8999938964844,-0.06819372706499498,3.591314320849162,-1.1478618412153703
MARUTI.NS,2026-01-28 14:15:00+05:30,63,"VR 3.2x, RSI 56, > VWAP",15168.0,14973.0,14502.0,15071.0,-1.2856012658227849,-4.390822784810126,-0.6395042194092827
TVSMOTOR.NS,2026-01-28 14:35:00+05:30,60,"VR 2.5x, RSI 62, > VWAP",3698.0,3700.300048828125,3655.0,3727.39990234375,0.0621971018962953,-1.1627906976744187,0.795021696694159
TATAPOWER.NS,2026-01-28 14:40:00+05:30,60,"VR 2.1x, RSI 61, > VWAP",353.5,354.70001220703125,366.45001220703125,371.54998779296875,0.33946597087164077,3.663369789824965,5.1060785835838045
TATACONSUM.NS,2026-01-28 14:50:00+05:30,70,"VR 3.1x, RSI 66, > VWAP",1129.0,1132.0999755859375,1107.199951171875,1153.0,0.27457711124335693,-1.9309166366806911,2.1257750221434897
MARICO.NS,2026-01-28 14:55:00+05:30,60,"VR 2.7x, RSI 62, > VWAP",736.2000122070312,736.0,729.9500122070312,733.4000244140625,-0.027168188496987333,-0.8489540744862687,-0.38032976725642165
ASIANPAINT.NS,2026-01-28 15:00:00+05:30,60,"VR 2.1x, RSI 63, > VWAP",2511.300048828125,,2416.0,2452.699951171875,,-3.794849160800036,-2.3334566366768956
EICHERMOT.NS,2026-01-28 15:05:00+05:30,60,"VR 2.5x, RSI 68, > VWAP",7049.5,,7056.5,7277.5,,0.09929782254060572,3.2342719341797292
JSWENERGY.NS,2026-01-28 15:15:00+05:30,60,"VR 2.6x, RSI 60, > VWAP",446.5,,459.0,468.8500061035156,,2.799552071668533,5.005600471112122
EICHERMOT.NS,2026-01-29 09:15:00+05:30,60,"VR 2.3x, RSI 69, > VWAP",7064.5,7073.5,7122.5,7209.5,0.1273975511359615,0.8210064406539741,2.0525161016349354
APLAPOLLO.NS,2026-01-29 09:15:00+05:30,65,"VR 3.2x, pullback -0.9%",2077.39990234375,2089.5,2045.699951171875,2182.10009765625,0.5824635710533398,-1.5259436151946815,5.039963427088634
BEL.NS,2026-01-29 09:15:00+05:30,75,"VR 4.0x, RSI 70, > VWAP, pullback -0.8%, extended +9.6%",454.04998779296875,442.75,449.0,432.8999938964844,-2.4887100752706455,-1.1122096528436363,-4.658076085254306
BHARATFORG.NS,2026-01-29 09:20:00+05:30,63,"VR 3.3x, RSI 58, > VWAP",1448.699951171875,1437.300048828125,1441.4000244140625,1573.199951171875,-0.7869056897895558,-0.5038950095847992,8.593912072633819
BAJFINANCE.NS,2026-01-29 09:25:00+05:30,60,"VR 2.0x, RSI 64, > VWAP",932.9000244140625,928.2999877929688,929.8499755859375,964.75,-0.4930899882849665,-0.3269427321583232,3.4140824045901264
BPCL.NS,2026-01-29 09:25:00+05:30,63,"VR 3.3x, RSI 59, > VWAP",362.20001220703125,362.20001220703125,364.5,382.04998779296875,0.0,0.635004891069438,5.480390645208311
DIXON.NS,2026-01-29 09:25:00+05:30,70,"VR 3.7x, RSI 61, > VWAP",10361.0,10185.0,10446.0,11376.0,-1.6986777338094778,0.8203841328057137,9.796351703503522
BHARTIARTL.NS,2026-01-29 09:25:00+05:30,60,"VR 2.4x, RSI 67, > VWAP",1957.699951171875,1940.0,1968.699951171875,1992.4000244140625,-0.9041197125882262,0.5618838572997575,1.7724919092640377
BANKBARODA.NS,2026-01-29 09:30:00+05:30,60,"VR 2.5x, RSI 69, > VWAP",306.75,306.8500061035156,299.3999938964844,290.45001220703125,0.03260182673696006,-2.396090009296047,-5.313769451660554
HAL.NS,2026-01-29 09:30:00+05:30,73,"VR 3.3x, RSI 58, pullback -0.7%",4605.60009765625,4595.2998046875,4619.39990234375,4035.5,-0.2236471415308448,0.2996309795659984,-12.378410751432131
SOLARINDS.NS,2026-01-29 09:30:00+05:30,65,"VR 5.2x, pullback -1.7%",13737.0,13577.0,13480.0,13384.0,-1.1647375700662443,-1.8708597219189054,-2.5697022639586518
MANAPPURAM.NS,2026-01-29 09:35:00+05:30,63,"VR 8.8x, RSI 73, > VWAP",296.70001220703125,296.8999938964844,284.6499938964844,294.75,0.06740198221278867,-4.061347426618445,-0.6572336119995071
SHRIRAMFIN.NS,2026-01-29 09:35:00+05:30,60,"VR 2.9x, RSI 67, > VWAP",1021.6500244140625,1023.2000122070312,1020.0,992.0,0.15171416394353832,-0.16150583611142408,-2.9021703817867968
IOC.NS,2026-01-29 09:35:00+05:30,60,"VR 2.7x, RSI 70, > VWAP",163.72000122070312,163.8000030517578,163.24000549316406,175.77000427246094,0.04886503204140639,-0.2931808721965517,7.3601288553093625
JSWSTEEL.NS,2026-01-29 09:35:00+05:30,60,"VR 1.8x, RSI 67, pullback -0.5%",1225.4000244140625,1228.800048828125,1214.4000244140625,1239.800048828125,0.2774624078931495,-0.897666050338114,1.1751284582312636
UNITDSPR.NS,2026-01-29 09:35:00+05:30,63,"VR 4.1x, RSI 72, > VWAP",1333.0,1331.5999755859375,1362.5999755859375,1359.4000244140625,-0.10502808807670667,2.2205533072721306,1.980496955293511
HINDPETRO.NS,2026-01-29 09:40:00+05:30,60,"VR 2.2x, RSI 69, > VWAP",435.5,434.3500061035156,427.0,458.8500061035156,-0.26406289241891506,-1.951779563719862,5.361654673597158
AXISBANK.NS,2026-01-29 09:45:00+05:30,60,"VR 2.3x, RSI 61, > VWAP",1323.699951171875,1331.9000244140625,1370.4000244140625,1330.5999755859375,0.6194812680115274,3.5279953890489915,0.5212680115273775
HINDZINC.NS,2026-01-29 09:45:00+05:30,60,"VR 9.7x, > VWAP, pullback -2.6%, extended +9.0%",713.9500122070312,711.2000122070312,628.5,610.7999877929688,-0.38518102850071173,-11.968626759019154,-14.447793634066224
HEROMOTOCO.NS,2026-01-29 09:55:00+05:30,60,"VR 2.1x, RSI 69, > VWAP",5567.5,5518.0,5534.0,5766.0,-0.8890884598114055,-0.6017063313875168,3.565334530758869
COALINDIA.NS,2026-01-29 09:55:00+05:30,60,"VR 1.7x, RSI 61, pullback -0.1%",445.70001220703125,446.1499938964844,440.75,431.8500061035156,0.10096066347965565,-1.1106152280588069,-3.107472677627432
NTPC.NS,2026-01-29 09:55:00+05:30,63,"VR 3.7x, RSI 75, > VWAP",352.95001220703125,353.6000061035156,356.0,367.0,0.18416032695958814,0.8641415745807389,3.980730218739133
NMDC.NS,2026-01-29 10:05:00+05:30,63,"VR 5.6x, RSI 73, > VWAP",83.52999877929688,83.16000366210938,81.20999908447266,84.5999984741211,-0.4429487879738892,-2.7774449044996716,1.2809765479003228
HCLTECH.NS,2026-01-29 10:15:00+05:30,60,"VR 1.5x, > VWAP, pullback -1.5%",1708.0,1702.9000244140625,1695.5999755859375,1610.0,-0.2985934183804157,-0.7259967455540106,-5.737704918032787
ICICIGI.NS,2026-01-29 10:25:00+05:30,63,"VR 3.6x, RSI 59, > VWAP",1813.0,1814.4000244140625,1814.0999755859375,1874.199951171875,0.07722142383135687,0.06067157120449531,3.375617825255102
BPCL.NS,2026-01-29 10:25:00+05:30,60,"VR 2.1x, RSI 67, > VWAP",363.25,364.1499938964844,364.5,382.04998779296875,0.24776156819941503,0.3441156228492774,5.175495607149002
TATASTEEL.NS,2026-01-29 10:25:00+05:30,60,"VR 2.3x, RSI 69, > VWAP",197.13999938964844,196.39999389648438,193.1300048828125,197.75999450683594,-0.3753705465431381,-2.0340846704124,0.31449483570408043
M&MFIN.NS,2026-01-29 10:30:00+05:30,60,"VR 2.5x, RSI 62, > VWAP",363.54998779296875,363.5,375.54998779296875,375.29998779296875,-0.013749909131400277,3.3007840470162946,3.2320177127034553
IGL.NS,2026-01-29 10:30:00+05:30,63,"VR 4.4x, RSI 59, > VWAP",178.60000610351562,178.72000122070312,177.88999938964844,173.22000122070312,0.06718651348642814,-0.39754013975546637,-3.0123206601092036
HINDZINC.NS,2026-01-29 10:45:00+05:30,75,"VR 4.8x, RSI 66, > VWAP, pullback -2.5%, extended +9.1%",714.7000122070312,717.8499755859375,628.5,610.7999877929688,0.440739236757391,-12.061006119314463,-14.537571378124614
BEL.NS,2026-01-29 10:45:00+05:30,60,"VR 3.8x, RSI 63, pullback -2.7%, extended +7.4%",445.04998779296875,446.25,449.0,432.8999938964844,0.2696353757882765,0.887543492949997,-2.730029037128384
MARUTI.NS,2026-01-29 10:50:00+05:30,60,"VR 3.0x, RSI 62, > VWAP",14494.0,14494.0,14599.0,15059.0,0.0,0.7244376983579411,3.8981647578308265
LT.NS,2026-01-29 10:50:00+05:30,60,"VR 2.4x, RSI 69, > VWAP",3912.300048828125,3926.89990234375,3932.300048828125,4063.300048828125,0.3731782668355967,0.5112082342966184,3.8596221689394694
CHOLAFIN.NS,2026-01-29 11:05:00+05:30,60,"VR 2.4x, RSI 67, > VWAP",1629.4000244140625,1626.4000244140625,1631.5999755859375,1722.300048828125,-0.18411685007055342,0.13501602669154922,5.701486622198232
NMDC.NS,2026-01-29 11:10:00+05:30,63,"VR 3.7x, RSI 56, > VWAP",84.05000305175781,84.33000183105469,81.20999908447266,84.5999984741211,0.3331335742182571,-3.3789457039475517,0.654366927297546
HAL.NS,2026-01-29 11:25:00+05:30,60,"VR 1.8x, RSI 62, pullback -1.0%",4592.5,4574.2998046875,4619.39990234375,4035.5,-0.3963025653238976,0.5857354892487752,-12.128470332063145
ICICIGI.NS,2026-01-29 11:30:00+05:30,60,"VR 2.0x, RSI 70, > VWAP",1821.9000244140625,1822.0,1814.0999755859375,1874.199951171875,0.005487435347592848,-0.42812715975639537,2.8706255039780557
EXIDEIND.NS,2026-01-29 11:35:00+05:30,60,"VR 2.7x, RSI 69, > VWAP",317.3999938964844,318.1000061035156,321.6000061035156,336.79998779296875,0.22054575314817093,1.3232552891607887,6.112159505211401
NTPC.NS,2026-01-29 11:40:00+05:30,60,"VR 2.7x, RSI 67, > VWAP",358.8500061035156,357.0,356.0,367.0,-0.5155374312525337,-0.7942053936299777,2.271142192521905
HINDZINC.NS,2026-01-29 11:45:00+05:30,68,"VR 3.4x, RSI 59, > VWAP, pullback -2.1%, extended +9.5%",717.25,713.3499755859375,628.5,610.7999877929688,-0.5437468684646218,-12.37364935517602,-14.841409858073371
SUNPHARMA.NS,2026-01-29 11:50:00+05:30,60,"VR 2.5x, RSI 67, > VWAP",1597.0999755859375,1597.5,1595.300048828125,1702.5999755859375,0.025046923810498507,-0.11269969227519086,6.605722973685138
LT.NS,2026-01-29 11:50:00+05:30,60,"VR 2.4x, RSI 64, > VWAP",3916.0,3927.39990234375,3932.300048828125,4063.300048828125,0.2911108872254852,0.4162423091962462,3.761492564558861
VBL.NS,2026-01-29 12:05:00+05:30,60,"VR 2.1x, RSI 62, > VWAP",457.20001220703125,457.54998779296875,471.25,437.1000061035156,0.07654758893117058,3.0730506163255686,-4.396326676914841
NMDC.NS,2026-01-29 12:10:00+05:30,70,"VR 3.8x, RSI 60, > VWAP",83.80000305175781,83.95999908447266,81.20999908447266,84.5999984741211,0.19092604640601815,-3.0906967457811176,0.9546484406082612
AXISBANK.NS,2026-01-29 12:20:00+05:30,75,"VR 1.5x, RSI 70, > VWAP, pullback -1.6%",1347.0,1349.300048828125,1370.4000244140625,1330.5999755859375,0.17075343935597623,1.7371955763966223,-1.217522228215479
EXIDEIND.NS,2026-01-29 12:40:00+05:30,60,"VR 2.7x, RSI 69, > VWAP",317.54998779296875,318.1499938964844,321.6000061035156,336.79998779296875,0.18894855190698592,1.2753955176302327,6.06203770744602
LT.NS,2026-01-29 12:55:00+05:30,60,"VR 2.1x, RSI 66, > VWAP",3935.199951171875,3937.0,3932.300048828125,4063.300048828125,0.045742245640884346,-0.073691359517486,3.25523732582134
IGL.NS,2026-01-29 13:00:00+05:30,60,"VR 2.4x, RSI 60, > VWAP",179.3000030517578,179.5500030517578,177.88999938964844,173.22000122070312,0.13943111865303956,-0.7863935516511702,-3.390965826865936
NMDC.NS,2026-01-29 13:10:00+05:30,70,"VR 3.1x, RSI 64, > VWAP",84.11000061035156,84.55000305175781,81.20999908447266,84.5999984741211,0.5231273786866412,-3.4478676790331613,0.5825678994338592
AXISBANK.NS,2026-01-29 13:20:00+05:30,75,"VR 1.7x, RSI 64, > VWAP, pullback -1.4%",1350.800048828125,1356.5,1370.4000244140625,1330.5999755859375,0.42196853463397066,1.4509901449101434,-1.4954154954104348
EXIDEIND.NS,2026-01-29 13:40:00+05:30,60,"VR 2.4x, RSI 67, > VWAP",319.6000061035156,319.3999938964844,321.6000061035156,336.79998779296875,-0.06258204105492658,0.6257822158339439,5.381721326964619
NTPC.NS,2026-01-29 13:45:00+05:30,60,"VR 2.0x, RSI 67, > VWAP",357.8500061035156,357.25,356.0,367.0,-0.1676697200731808,-0.5169780835438834,2.5569355149983
HINDZINC.NS,2026-01-29 13:50:00+05:30,65,"VR 2.3x, RSI 60, > VWAP, pullback -2.3%, extended +9.3%",716.25,703.9000244140625,628.5,610.7999877929688,-1.7242548811082024,-12.25130890052356,-14.722514793302793
M&M.NS,2026-01-29 14:00:00+05:30,60,"VR 2.5x, RSI 63, > VWAP",3367.10009765625,3373.89990234375,3431.800048828125,3572.0,0.20194839744245102,1.9215333460656823,6.085352273500138
BPCL.NS,2026-01-29 14:00:00+05:30,60,"VR 2.1x, RSI 66, > VWAP",365.70001220703125,366.1499938964844,364.5,382.04998779296875,0.12304667061328396,-0.32814114492068847,4.470870943444596
IGL.NS,2026-01-29 14:05:00+05:30,60,"VR 2.4x, RSI 67, > VWAP",179.6999969482422,181.60000610351562,177.88999938964844,173.22000122070312,1.0573228645188484,-1.0072329378586866,-3.6060077003815714
NMDC.NS,2026-01-29 14:10:00+05:30,70,"VR 3.1x, RSI 62, > VWAP",84.51000213623047,84.44999694824219,81.20999908447266,84.5999984741211,-0.0710036521967573,-3.904866842197204,0.10649193659414485
AXISBANK.NS,2026-01-29 14:20:00+05:30,60,"VR 1.7x, > VWAP, pullback -0.8%",1357.9000244140625,1363.800048828125,1370.4000244140625,1330.5999755859375,0.434496230059969,0.9205390511274041,-2.010460883517919
SBILIFE.NS,2026-01-29 14:40:00+05:30,63,"VR 3.2x, RSI 73, > VWAP",1992.9000244140625,1999.0999755859375,1998.5,2017.800048828125,0.31110196677818114,0.28099631277710296,1.2494367057566482
