symbol,signal_date,entry_date,entry_price,volume_mult,range_position,ema_pct,nifty_change,breadth_pct,regime_ok,exit_1d,exit_3d,exit_5d,ret_1d,ret_3d,ret_5d
HDFCBANK.NS,2019-09-20,2019-09-23,629.7750244140625,2.754041064434715,0.90143493944378,6.695253753416094,5.319112930777714,79.86577181208054,True,628.625,619.8499755859375,622.0999755859375,-0.18260876812834445,-1.5759673603060367,-1.2186969204226228
ICICIBANK.NS,2019-03-12,2019-03-13,387.8999938964844,2.2397676476758384,0.9313314839409347,7.269900270297327,1.1922438828049886,89.1156462585034,True,391.8999938964844,395.29998779296875,398.3999938964844,1.0311936228252292,1.9077066287500766,2.7068832599162267
ICICIBANK.NS,2024-04-29,2024-04-30,1159.949951171875,2.0365169095806444,0.9405952995725886,5.936268848542258,0.996662256880243,71.3375796178344,True,1150.4000244140625,1142.050048828125,1131.9000244140625,-0.82330507003034,-1.5431616101768937,-2.418201468905982
KOTAKBANK.NS,2020-08-28,2020-08-31,297.6000061035156,2.5599779882862457,0.905481049806443,6.647417107800954,0.7643195654994939,76.15894039735099,True,280.2699890136719,284.70001220703125,276.010009765625,-5.823258311297133,-4.334675279541933,-7.254702921740154
KOTAKBANK.NS,2021-08-04,2021-08-05,352.3399963378906,2.4635458326973687,0.9516480617416714,2.439101495593165,0.7938242467802281,70.58823529411765,True,354.3500061035156,356.17999267578125,356.1199951171875,0.5704744810456943,1.0898553606750072,1.0728270473363726
KOTAKBANK.NS,2023-07-20,2023-07-21,390.3800048828125,2.2059262863709455,0.9208630092474686,3.9875754077366663,0.7361412439498949,77.70700636942675,True,394.0400085449219,375.1000061035156,374.75,0.9375489564861462,-3.914134583784267,-4.0037923785324105
AXISBANK.NS,2021-01-05,2021-01-06,662.0,2.3382738884622256,0.9308615126436894,7.7016064180297,0.47123808655142874,93.37748344370861,True,654.25,672.7000122070312,675.7000122070312,-1.1706948640483383,1.6163160433581947,2.069488248796261
SBIN.NS,2021-05-17,2021-05-18,390.0,2.115315608140674,0.9025520037499062,6.781606013721844,1.6715760481972541,72.36842105263158,True,382.25,384.54998779296875,412.04998779296875,-1.987179487179487,-1.3974390274439104,5.653843023838141
SBIN.NS,2021-08-03,2021-08-04,448.6499938964844,2.189365856088467,0.9020982453444648,3.7927434480148,1.5460955882416139,71.89542483660131,True,456.95001220703125,435.6499938964844,426.45001220703125,1.8499985341495206,-2.897581673209484,-4.948173852995808
SBIN.NS,2023-07-20,2023-07-21,610.0,2.1309857705922375,0.9377592730477594,3.639207876595836,0.7361412439498949,77.70700636942675,True,615.0999755859375,609.5999755859375,616.5499877929688,0.836061571465164,-0.06557777279713115,1.0737684906506146
SBIN.NS,2024-04-25,2024-04-26,815.9000244140625,2.3868402015234524,0.9620109004015364,6.310113099335313,0.7496929606716884,72.61146496815286,True,801.2999877929688,826.25,831.4500122070312,-1.7894394146609747,1.2685347807619347,1.9058692643300204
SBIN.NS,2025-09-17,2025-09-18,858.6500244140625,2.746228896501174,0.9631676205977169,4.501926227142512,0.3611475529465391,81.64556962025317,True,854.3499755859375,855.25,866.2000122070312,-0.5007917901195341,-0.39597325072955725,0.8792858065916688
INDUSINDBK.NS,2019-03-13,2019-03-14,1649.0,3.390443049141814,0.9493755110955349,7.310889360121917,0.358369016565141,86.39455782312925,True,1682.699951171875,1715.800048828125,1713.4000244140625,2.0436598648802304,4.050942924689205,3.9053986909680107
INDUSINDBK.NS,2020-10-01,2020-10-05,593.2000122070312,2.692997971646433,0.9192343618343686,4.7303218280594885,1.5061092732783665,60.9271523178808,True,601.5499877929688,619.0999755859375,623.0499877929688,1.4076155451971393,4.366143433231584,5.03202545038378
BAJFINANCE.NS,2021-04-28,2021-04-29,535.0,2.874852586127546,0.9263297938093354,7.687323289687653,1.4433855260107098,64.47368421052632,True,548.4849853515625,555.114990234375,551.5150146484375,2.5205580096378504,3.759811258761682,3.086918625876168
BAJFINANCE.NS,2021-06-10,2021-06-11,610.5349731445312,2.374649398538162,0.9347035125881561,6.814937040459817,0.6549286916079033,90.13157894736842,True,612.0,616.114990234375,605.0250244140625,0.2399578926532577,0.9139553564153972,-0.9024788051190616
BAJAJFINSV.NS,2021-01-19,2021-01-20,893.7999877929688,2.3535843801958958,0.9068337214029641,1.1522296942786021,1.6794730817062842,74.83443708609272,True,893.8250122070312,907.0999755859375,912.6099853515625,0.002799777847870861,1.488027296331697,2.104497406074111
BAJAJFINSV.NS,2022-01-05,2022-01-06,1770.0999755859375,2.2992264337890758,0.9351575349506579,7.425821234238193,0.6739585234692091,80.76923076923077,True,1798.6500244140625,1779.8800048828125,1793.530029296875,1.6129060065477023,0.5525128202794094,1.323657083447035
BAJAJFINSV.NS,2022-11-04,2022-11-07,1813.199951171875,3.5873393457851983,0.9487784237143713,5.695327275681154,0.3570168155688336,79.61783439490446,True,1778.050048828125,1700.3499755859375,1718.3499755859375,-1.9385563252984066,-6.223802041964667,-5.231081962286385
BAJAJFINSV.NS,2023-07-04,2023-07-05,1631.0,5.023290856556242,0.9219763339048008,7.836888061254621,0.3438946519135566,81.41025641025641,True,1613.699951171875,1614.9000244140625,1592.4000244140625,-1.0607019514484977,-0.9871229666423974,-2.3666447324302573
BAJAJFINSV.NS,2023-11-16,2023-11-17,1593.050048828125,2.232547695331127,0.9173695377107584,2.1435109138090165,0.4561522280999375,85.98726114649682,True,1615.9000244140625,1610.4000244140625,1623.949951171875,1.4343539051234664,1.089104237415544,1.9396692757067173
BAJAJHLDNG.NS,2020-01-29,2020-01-30,3435.0,3.2397764606265875,0.936309814453125,1.2824678784927217,0.6113256399948197,62.66666666666667,True,3393.85009765625,3600.800048828125,3865.5,-1.1979593113173217,4.826784536481076,12.532751091703057
BAJAJHLDNG.NS,2024-01-19,2024-01-23,8400.0,3.6967002845921093,0.9452161222306144,5.40080091099393,0.746195718645537,66.2420382165605,True,8122.2001953125,8194.7001953125,8251.650390625,-3.3071405319940474,-2.4440452938988093,-1.7660667782738095
BAJAJHLDNG.NS,2024-08-26,2024-08-27,9911.900390625,2.3730338770217236,0.9205604709282356,3.304570782142485,0.7551387144671073,75.9493670886076,True,9934.599609375,10059.599609375,10631.25,0.22900975449137548,1.4901200872609532,7.257433802052575
IDFCFIRSTB.NS,2025-10-20,2025-10-21,77.25,4.156665396625922,0.9621384744262234,6.460954344193905,0.5184813729964155,67.29559748427673,True,76.7699966430664,78.19999694824219,79.19999694824219,-0.621363568846076,1.2297695122876213,2.5242678941646437
